SampleID,Location,SampleType,Plate,Well,Date,Month,mL_Filtered,pMR,plant_reads,plant_QuantIT,plant_uL_pooled,plant_ng_added,plant_norm_reads,aMR,animal_reads,animal_QuantIT,animal_uL_pooled,animal_ng_added,animal_norm_read,xMR,Coast_City,City_Town,Coast_Inland,County,long,lat,DistancetoCoast,Capacity_mgd,PopulationServedK,Per_capita_income_k,Population_density,White_percent,Black_AA_percent,AmericanIndianAlaska_percent,Asian_percent,Hawaiian_PacificIslander_percent,Mixed_percent,HispanicLatino_percent,White_nonHispanic_percent,Foreign_born_percent,High_school_percent,Bachelor_percent,Poverty_percent,CountyBrewery,CityBrewery,HealthInsured_19less,HealthInsured_18_64,FoodInsecure_rate,ChildFoodInsecure,CostPerMeal,InsuredPercent_under19yr,InsuredPercent_18_64,FoodInsecure_percent,LimitedHealthyFoodsAccess_percent,RuralArea_percent,Obesity_20yr_percent,AdultObesity_percent,FoodEnvironmentIndex,ExcessiveDrinking_percent,DrunkDrivingDeaths_percent,Lowbirthweight_percent,Diabetes_20yr_percent,NewDiabetes_perk_20yr
NCWW121720_16,Newport,WasteWater,NCWW121720,H02,10/6/2020,10,100,44,11305,5.022,2.38948626,12,70967,9,12702,5.616,2.14,12,267504,53,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_24,Beaufort,WasteWater,NCWW121720,H03,10/28/2020,10,100,39,25943,2.105,5.700712589,12,68263,12,11994,2.458,4.88,12,110555,51,Coast_Town,Town,Coast,carteret,-76.6383,34.7173,0,1.5,3.5,29.322,51.48595304,0.725,0.238,0.012,0.006,0.001,0.019,0.085,0.662,0.036,0.877,0.204,0.201,5,2,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_32,Newport,WasteWater,NCWW121720,H04,11/10/2020,11,100,35,4159,0.342,15,5.13,4159,9,56773,2.741,4.38,12,583555,44,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_40,Greenville,WasteWater,NCWW121720,H05,12/2/2020,12,100,31,18283,2.196,5.464480874,12,50187,3,21781,7.42,1.62,12,606056,34,Inland_City,City,Inland,pitt,-77.30678,35.60849,80,17.5,89.616,28.424,264.9765643,0.525,0.392,0.003,0.025,0,0.034,0.043,0.508,0.04,0.928,0.389,0.262,5,2,95.1,85.1,13.1,20.9,3.74,95.1,85.1,16.1,3.156236291,25.43592549,38.8,39.1,7.4,16.51850136,21.10091743,10.46766033,9,10.7
NCWW121720_48,Newport,WasteWater,NCWW121720,H06,12/9/2020,12,100,30,42386,1.954,6.141248721,12,103528,3,19993,3.532,3.4,12,264807,33,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_56,Newport,WasteWater,NCWW121720,H07,7/7/2020,7,100,1,117,0.111,15,1.665,117,3,4463,1.032,11.63,12,17272,4,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW121720_64,Newport,WasteWater,NCWW121720,H08,12/1/2020,12,100,52,11703,0.464,15,6.96,11703,6,8070,8.81,1.36,12,266613,58,Coast_Town,Town,Coast,carteret,-76.86373,34.78416,0,1.2,16.622,25.448,51.48595304,0.66,0.179,0.008,0.036,0.005,0.079,0.164,0.568,0.044,0.938,0.166,0.131,5,1,94.8,86.3,11.7,12,4.03,94.8,86.3,13.8,7.066670345,32.60316839,25.8,33.5,7.5,19.72813577,21.05263158,7.377666248,7.5,11.6
NCWW022621_9,Charlotte 2,WasteWater,NCWW022621,A02,12/7/2020,12,20,57,33729,0.951,12.61829653,12,200477,10,70912,0.452,15,6.78,1063680,67,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_17,Charlotte 2,WasteWater,NCWW022621,A03,11/23/2020,11,20,61,20547,3.103,3.867225266,12,398483,12,43530,1.089,11.02,12,888828,73,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_25,Charlotte 3,WasteWater,NCWW022621,A04,11/16/2020,11,20,59,23014,3.597,3.336113428,12,517383,8,63353,0.071,15,1.07,945854,67,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_49,Charlotte 2,WasteWater,NCWW022621,A07,9/2/2020,9,20,57,33462,7.606,1.577701814,12,1590700,7,71868,0.527,15,7.91,1077339,64,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_57,Charlotte 3,WasteWater,NCWW022621,A08,9/23/2020,9,20,57,13072,0.698,15,10.47,65360,9,52576,4.299,2.79,12,4237954,66,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_65,Charlotte 4,WasteWater,NCWW022621,A09,10/7/2020,10,20,42,10751,3.917,3.063569058,12,263198,6,45456,0.463,15,6.95,681349,48,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_73,Charlotte 2,WasteWater,NCWW022621,A10,10/2/2020,10,20,50,7821,6.747,1.778568253,12,329802,10,53205,1.152,10.42,12,1149228,60,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_81,Charlotte 3,WasteWater,NCWW022621,A11,11/4/2020,11,20,57,29694,1.908,6.289308176,12,354101,10,59436,1.47,8.16,12,1638205,67,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_10,Charlotte 1,WasteWater,NCWW022621,B02,12/7/2020,12,20,48,16788,0.365,15,5.475,83940,5,70615,2.592,4.63,12,3431889,53,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_18,Charlotte 1,WasteWater,NCWW022621,B03,11/23/2020,11,20,56,19792,3.743,3.205984504,12,463009,7,32192,2.846,4.22,12,1717846,63,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_26,Charlotte 2,WasteWater,NCWW022621,B04,11/16/2020,11,20,47,38944,1.943,6.176016469,12,472926,10,49389,1.237,9.7,12,1145516,57,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_42,Charlotte 4,WasteWater,NCWW022621,B06,11/4/2020,11,20,50,9383,4.619,2.597964927,12,270875,8,35678,2.85,4.21,12,1906543,58,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_50,Charlotte 1,WasteWater,NCWW022621,B07,9/2/2020,9,20,70,38408,5.732,2.093510119,12,1375967,9,74163,1.242,9.66,12,1727071,79,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_58,Charlotte 2,WasteWater,NCWW022621,B08,9/23/2020,9,20,35,19869,0.818,14.66992665,12,101580,4,61279,0.073,15,1.1,915007,39,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_66,Charlotte 3,WasteWater,NCWW022621,B09,10/14/2020,10,20,59,25957,3.78,3.174603175,12,613234,15,37599,3.496,3.43,12,2464614,74,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_74,Charlotte 1,WasteWater,NCWW022621,B10,10/21/2020,10,20,52,10880,5.302,2.263296869,12,360536,9,52259,0.176,15,2.64,783885,61,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_82,Charlotte 2,WasteWater,NCWW022621,B11,11/2/2020,11,20,60,13377,1.813,6.618863762,12,151578,11,37983,0.219,15,3.29,568879,71,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
