Plant,label,WW_1,WW_2,WW_mean,Stool_1,Stool_2,Stool_3,Stool_4,Stool_5,Stool_6,Stool_7,Stool_8,Stool_9,Stool_10,Stool_11,Stool_12,Stool_13,Stool_14,Stool_mean
Asparagus,Asparagus,2.021685535,-1.717674231,0.152005652,4.416095394,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.002918172
Mint,Mint,1.876177952,-1.717674231,0.079251861,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Taro,Taro,1.676845049,-1.717674231,-0.020414591,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Flax,Flax,-1.849515476,1.466995237,-0.19126012,-0.653947655,-0.489563071,6.840854131,-0.396160663,-0.37470678,7.832131885,-0.276748407,6.849380489,-0.344646946,8.276936475,-0.240816905,4.204020654,-0.232755763,-0.2694996,2.19460556
Allium,Allium,1.195006962,-1.717674231,-0.261333635,3.767951085,-0.489563071,4.117851764,5.278758545,-0.37470678,5.603741081,-0.276748407,4.057251987,-0.344646946,-0.272687635,7.149139652,-0.259477309,-0.232755763,-0.2694996,1.961043472
Basil,Basil,1.170909411,-1.717674231,-0.27338241,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Jute,Jute,1.094923504,-1.717674231,-0.311375364,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Macadamia Nut,Macadamia Nut,0.983697868,-1.717674231,-0.366988182,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Rosemary,Rosemary,-1.849515476,0.944970109,-0.452272684,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Olive, Common Bean","Olive, Common Bean",-1.849515476,0.894771147,-0.477372165,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Juniper,Juniper,0.75317421,-1.717674231,-0.482250011,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Common Lavender, Pineapple Sage, Chia seed",Chia seed,-1.849515476,0.664198665,-0.592658406,-0.653947655,-0.489563071,3.855993317,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.044311317
Beet,Beet,0.453069617,-1.717674231,-0.632302307,-0.653947655,5.097735714,6.378903733,-0.396160663,-0.37470678,6.972112125,-0.276748407,2.743984323,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,1.276520588
Hazelnut,Hazelnut,0.229926066,-1.717674231,-0.743874083,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,5.912764295,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.087730186
Annona,Annona,0.165387545,-1.717674231,-0.776143343,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Neem,Neem,-0.750903187,-1.717674231,-1.234288709,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Onion,Onion,-1.849515476,-1.717674231,-1.783594854,-0.653947655,3.966228333,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,4.111680756,-0.259477309,-0.232755763,-0.2694996,0.269935745
"French Lavender, Sage","French Lavender, Sage",-1.849515476,-1.717674231,-1.783594854,-0.653947655,4.713834097,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,0.012443466
"Zedoary, Turmeric",Turmeric,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,4.352874122,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.00881983
Opium poppy,Opium poppy,-1.849515476,-1.717674231,-1.783594854,-0.653947655,4.34692747,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.01376415
Celery,Celery,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,3.542948485,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.086140047
"Chicory, Cornflower, Salsify, Dandelion, African Oil Palm, Billygoat Weed",,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Daisy,Daisy,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Brassica oleracea,Cabbage1,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Sorghum,Sorghum,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Brazil Nut,Brazil Nut,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
white lupin,white lupin,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Indian Goosegrass, Teff","Indian Goosegrass, Teff",-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Pineapple,Pineapple,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Mulberry,Mulberry,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
